GeneID	Symbol	Description	log2FC	Pvalue
84069	PLEKHN1	pleckstrin homology domain containing N1	-2.012	8.562
84808	PERM1	PPARGC1 and ESRR induced regulator, muscle 1	-1.523	4.377
388581	C1QTNF12	C1q and TNF related 12	1.646	4.176
219293	ATAD3C	ATPase family AAA domain containing 3C	-1.397	3.901
2563	GABRD	gamma-aminobutyric acid type A receptor subunit delta	-2.579	8.864
388585	HES5	hes family bHLH transcription factor 5	1.881	5.535
440556	PRDM16-DT	PRDM16 divergent transcript	1.813	5.449
105378604	LOC105378604	uncharacterized LOC105378604	-2.033	7.895
1953	MEGF6	multiple EGF like domains 6	-1.03	3.586
7161	TP73	tumor protein p73	-1.157	2.966
26038	CHD5	chromodomain helicase DNA binding protein 5	1.406	4.175
105376689	LOC105376689	translation initiation factor IF-2	-2.29	6.547
3604	TNFRSF9	TNF receptor superfamily member 9	-1.235	3.43
54206	ERRFI1	ERBB receptor feedback inhibitor 1	-1.13	3.349
10747	MASP2	MBL associated serine protease 2	-3.491	7.98
10218	ANGPTL7	angiopoietin like 7	2.592	3.683
26232	FBXO2	F-box protein 2	-1.776	3.852
943	TNFRSF8	TNF receptor superfamily member 8	-1.182	3.37
10630	PDPN	podoplanin	-1.55	3.809
284723	SLC25A34	solute carrier family 25 member 34	2.064	8.536
110806303	SLC25A34-AS1	SLC25A34 and TMEM82 antisense RNA 1	1.939	9.602
388595	TMEM82	transmembrane protein 82	1.348	2.877
101927479	EPHA2-AS1	EPHA2 antisense RNA 1	1.036	6.417
55672	NBPF1	NBPF member 1	1.425	9.917
4237	MFAP2	microfibril associated protein 2	-1.941	7.033
105376806	LOC105376806	uncharacterized LOC105376806	-1.935	6.531
11240	PADI2	peptidyl arginine deiminase 2	1.943	4.729
29943	PADI1	peptidyl arginine deiminase 1	-1.297	2.187
8659	ALDH4A1	aldehyde dehydrogenase 4 family member A1	-2.664	12.041
126917	IFFO2	intermediate filament family orphan 2	-1.241	6.6
5322	PLA2G5	phospholipase A2 group V	-1.175	2.124
249	ALPL	alkaline phosphatase, biomineralization associated	-2.691	7.657
3352	HTR1D	5-hydroxytryptamine receptor 1D	-3.557	10.323
55616	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	1.097	4.155
2517	FUCA1	alpha-L-fucosidase 1	1.336	10.538
1269	CNR2	cannabinoid receptor 2	1.847	6.053
107984931	LOC107984931	uncharacterized LOC107984931	-1.359	3.485
127294	MYOM3	myomesin 3	-1.606	4.799
57822	GRHL3	grainyhead like transcription factor 3	-2.819	10.293
90529	STPG1	sperm tail PG-rich repeat containing 1	1.013	6.817
7780	SLC30A2	solute carrier family 30 member 2	-2.149	5.202
8431	NR0B2	nuclear receptor subfamily 0 group B member 2	-3.237	11.799
6548	SLC9A1	solute carrier family 9 member A1	1.156	7.369
8547	FCN3	ficolin 3	-6.081	17.832
2827	GPR3	G protein-coupled receptor 3	-2.297	6.724
2268	FGR	FGR proto-oncogene, Src family tyrosine kinase	-1.14	4.804
2537	IFI6	interferon alpha inducible protein 6	-1.186	3.235
27293	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B	1.024	3.371
6080	SNORA73A	small nucleolar RNA, H/ACA box 73A	-1.041	2.453
26768	SNORA73B	small nucleolar RNA, H/ACA box 73B	-1.02	2.3
10076	PTPRU	protein tyrosine phosphatase receptor type U	-1.161	3.533
105378625	LOC105378625	uncharacterized LOC105378625	2.409	4.752
90853	SPOCD1	SPOC domain containing 1	-2.133	8.743
3208	HPCA	hippocalcin	1.144	4.486
113452	TMEM54	transmembrane protein 54	1.204	4.964
114784	CSMD2	CUB and Sushi multiple domains 2	-1.524	3.483
2709	GJB5	gap junction protein beta 5	-2.428	3.117
127534	GJB4	gap junction protein beta 4	-2.883	8.537
2707	GJB3	gap junction protein beta 3	-1.035	2.22
2701	GJA4	gap junction protein alpha 4	-1.062	4.193
63967	CLSPN	claspin	-1.435	5.781
1441	CSF3R	colony stimulating factor 3 receptor	-1.396	5.267
2899	GRIK3	glutamate ionotropic receptor kainate type subunit 3	2.471	4.215
102465438	MIR6732	microRNA 6732	-1.037	2.233
284654	RSPO1	R-spondin 1	1.971	4.701
284656	EPHA10	EPH receptor A10	1.4	3.761
2275	FHL3	four and a half LIM domains 3	-1.016	2.898
54933	RHBDL2	rhomboid like 2	1.309	2.77
105378662	LOC105378662	uncharacterized LOC105378662	1.276	2.805
26508	HEYL	hes related family bHLH transcription factor with YRPW motif like	-1.564	8.374
65243	ZFP69B	ZFP69 zinc finger protein B	-1.285	8.779
163732	CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4	-1.6	4.022
1503	CTPS1	CTP synthase 1	-1.622	9.605
1907	EDN2	endothelin 2	1.884	4.277
2981	GUCA2B	guanylate cyclase activator 2B	3.446	6.231
2980	GUCA2A	guanylate cyclase activator 2A	2.716	4.483
284716	RIMKLA	ribosomal modification protein rimK like family member A	1.477	4.826
6513	SLC2A1	solute carrier family 2 member 1	-2.147	6.931
440584	SLC2A1-DT	SLC2A1 divergent transcript	-1.847	3.815
149466	C1orf210	chromosome 1 open reading frame 210	1.128	3.615
991	CDC20	cell division cycle 20	-1.097	4.118
6536	SLC6A9	solute carrier family 6 member 9	1.069	5.187
11004	KIF2C	kinesin family member 2C	-1.291	6.501
266675	BEST4	bestrophin 4	4.184	11.357
84842	HPDL	4-hydroxyphenylpyruvate dioxygenase like	-1.16	3.647
10420	TESK2	testis associated actin remodelling kinase 2	1.085	9.797
10103	TSPAN1	tetraspanin 1	1.709	3.962
8438	RAD54L	RAD54 like	-1.247	5.862
1579	CYP4A11	cytochrome P450 family 4 subfamily A member 11	-8.198	19.718
260293	CYP4X1	cytochrome P450 family 4 subfamily X member 1	-1.947	6.166
102724077	LINC01389	long intergenic non-protein coding RNA 1389	1.008	3.342
2306	FOXD2	forkhead box D2	1.087	2.662
79656	BEND5	BEN domain containing 5	1.875	7.633
1996	ELAVL4	ELAV like RNA binding protein 4	1.922	4.894
105378720	EPS15-AS1	EPS15 antisense RNA 1	1.195	5.541
441884	CALR4P	calreticulin 4, pseudogene	1.427	6.044
5865	RAB3B	RAB3B, member RAS oncogene family	1.048	2.458
4998	ORC1	origin recognition complex subunit 1	-1.063	3.935
6512	SLC1A7	solute carrier family 1 member 7	-2.13	4.471
7804	LRP8	LDL receptor related protein 8	-2.385	17.473
105378728	LOC105378728	uncharacterized LOC105378728	-2.474	10.203
105378726	LOC105378726	uncharacterized LOC105378726	-2.097	8.399
148979	GLIS1	GLIS family zinc finger 1	1.463	3.624
338094	FAM151A	family with sequence similarity 151 member A	1.077	7.161
55001	TTC22	tetratricopeptide repeat domain 22	1.499	5.227
163747	LEXM	lymphocyte expansion molecule	1.779	5.516
199964	TMEM61	transmembrane protein 61	1.7	3.078
255738	PCSK9	proprotein convertase subtilisin/kexin type 9	-2.356	7.927
199920	FYB2	FYN binding protein 2	-2.277	3.178
731	C8A	complement C8 alpha chain	-8.484	19.297
732	C8B	complement C8 beta chain	-8.756	20.982
1600	DAB1	DAB adaptor protein 1	-1.498	5.309
4070	TACSTD2	tumor associated calcium signal transducer 2	-3.814	13.644
55277	FGGY	FGGY carbohydrate kinase domain containing	-1.964	6.763
105378763	LINC01748	long intergenic non-protein coding RNA 1748	-3.077	7.487
163782	KANK4	KN motif and ankyrin repeat domains 4	1.224	2.83
27022	FOXD3	forkhead box D3	2.069	2.587
55225	RAVER2	ribonucleoprotein, PTB binding 2	1.053	7.04
10022	INSL5	insulin like 5	2.747	2.492
79819	DNAI4	dynein axonemal intermediate chain 4	1.77	6.731
57554	LRRC7	leucine rich repeat containing 7	1.919	8.159
5733	PTGER3	prostaglandin E receptor 3	1.193	2.918
257194	NEGR1	neuronal growth regulator 1	1.797	3.022
79739	TTLL7	tubulin tyrosine ligase like 7	1.127	3.224
5567	PRKACB	protein kinase cAMP-activated catalytic subunit beta	1.246	4.804
148418	SAMD13	sterile alpha motif domain containing 13	1.042	2.951
255231	MCOLN2	mucolipin TRP cation channel 2	1.415	3.236
22802	CLCA4	chloride channel accessory 4	3.347	4.892
105378828	CLCA4-AS1	CLCA4 antisense RNA 1	3.35	7.356
339524	LINC01140	long intergenic non-protein coding RNA 1140	1.345	3.224
2635	GBP3	guanylate binding protein 3	1.055	4.675
105378842	LOC105378842	uncharacterized LOC105378842	-4.422	9.569
388646	GBP7	guanylate binding protein 7	-6.223	16.119
105378849	LOC105378849	uncharacterized LOC105378849	1.113	2.941
107985088	LOC107985088	uncharacterized LOC107985088	1.105	2.214
253152	EPHX4	epoxide hydrolase 4	-3.625	17.401
2672	GFI1	growth factor independent 1 transcriptional repressor	1.28	4.734
54873	PALMD	palmdelphin	-1.343	2.953
8556	CDC14A	cell division cycle 14A	1.526	12.773
118427	OLFM3	olfactomedin 3	2.244	3.278
1301	COL11A1	collagen type XI alpha 1 chain	-4.898	23.603
29899	GPSM2	G protein signaling modulator 2	-1.079	4.598
2946	GSTM2	glutathione S-transferase mu 2	1.425	5.201
2949	GSTM5	glutathione S-transferase mu 5	1.817	5.14
9122	SLC16A4	solute carrier family 16 member 4	-1.287	5.471
3738	KCNA3	potassium voltage-gated channel subfamily A member 3	1.553	5.702
1117	CHI3L2	chitinase 3 like 2	1.399	2.929
128344	PIFO	primary cilia formation	-1.881	4.647
5016	OVGP1	oviductal glycoprotein 1	-1.114	7.572
79084	WDR77	WD repeat domain 77	-1.162	12.043
105378909	LINC02884	long intergenic non-protein coding RNA 2884	1.696	4.017
7482	WNT2B	Wnt family member 2B	1.259	5.143
100996702	LINC01356	long intergenic non-protein coding RNA 1356	-1.792	6.693
100506392	SLC16A1-AS1	SLC16A1 antisense RNA 1	-1.235	5.493
270	AMPD1	adenosine monophosphate deaminase 1	2.667	6.505
845	CASQ2	calsequestrin 2	1.482	2.446
105378918	LOC105378918	uncharacterized LOC105378918	1.465	3.692
54855	TENT5C	terminal nucleotidyltransferase 5C	1.722	8.167
200162	SPAG17	sperm associated antigen 17	-1.067	8.81
6913	TBX15	T-box transcription factor 15	-5.334	18.058
3284	HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	4.776	11.413
90874	ZNF697	zinc finger protein 697	-1.247	8.061
26227	PHGDH	phosphoglycerate dehydrogenase	-1.758	4.553
83998	REG4	regenerating family member 4	-2.222	2.879
2210	FCGR1BP	Fc gamma receptor Ib, pseudogene	-2.076	9.207
653820	FAM72B	family with sequence similarity 72 member B	-1.078	3.66
100132417	FCGR1CP	Fc gamma receptor Ic, pseudogene	-2.184	9.444
554282	FAM72C	family with sequence similarity 72 member C	-1.399	6.452
728833	FAM72D	family with sequence similarity 72 member D	-1.512	7.518
11126	CD160	CD160 molecule	1.828	5.969
100996756	LOC100996756	uncharacterized LOC100996756	1.024	3.13
2209	FCGR1A	Fc gamma receptor Ia	-2.14	12.088
440689	H2BC18	H2B clustered histone 18	-1.275	5.307
1893	ECM1	extracellular matrix protein 1	-1.095	4.134
8991	SELENBP1	selenium binding protein 1	1.788	6.606
11189	CELF3	CUGBP Elav-like family member 3	-1.042	2.258
284485	RIIAD1	regulatory subunit of type II PKA R-subunit domain containing 1	-1.876	3.139
6282	S100A11	S100 calcium binding protein A11	-1.728	14.162
7062	TCHH	trichohyalin	-1.603	4.557
6280	S100A9	S100 calcium binding protein A9	-1.973	6.891
6279	S100A8	S100 calcium binding protein A8	-1.971	6.49
6274	S100A3	S100 calcium binding protein A3	-1.317	2.768
6273	S100A2	S100 calcium binding protein A2	-3.516	11.809
1163	CKS1B	CDC28 protein kinase regulatory subunit 1B	-1.116	8.245
1944	EFNA3	ephrin A3	-1.617	5.079
5313	PKLR	pyruvate kinase L/R	-2.471	6.949
92312	MEX3A	mex-3 RNA binding family member A	-2.606	13.02
632	BGLAP	bone gamma-carboxyglutamate protein	1.135	4.374
128229	TSACC	TSSK6 activating cochaperone	-1.465	4.785
128239	IQGAP3	IQ motif containing GTPase activating protein 3	-1.803	9.453
1382	CRABP2	cellular retinoic acid binding protein 2	-1.659	3.148
83416	FCRL5	Fc receptor like 5	1.475	3.571
83417	FCRL4	Fc receptor like 4	3.121	8.671
115352	FCRL3	Fc receptor like 3	1.548	3.829
79368	FCRL2	Fc receptor like 2	2.181	6.623
115350	FCRL1	Fc receptor like 1	1.997	5.664
909	CD1A	CD1a molecule	-1.497	2.354
57863	CADM3	cell adhesion molecule 3	2.57	5.565
100131825	CADM3-AS1	CADM3 antisense RNA 1	2.479	5.439
325	APCS	amyloid P component, serum	-8.419	21.769
1401	CRP	C-reactive protein	-7.15	19.113
25790	CFAP45	cilia and flagella associated protein 45	-1.306	3.873
57549	IGSF9	immunoglobulin superfamily member 9	1.123	4.217
89886	SLAMF9	SLAM family member 9	1.499	5.705
100505633	LINC01133	long intergenic non-protein coding RNA 1133	1.636	5.021
477	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	2.208	5.318
57823	SLAMF7	SLAM family member 7	1.469	5.399
4063	LY9	lymphocyte antigen 9	1.72	8.198
81607	NECTIN4	nectin cell adhesion molecule 4	-1.346	4.062
9507	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	-2.438	9.23
336	APOA2	apolipoprotein A2	-8.544	23.747
9970	NR1I3	nuclear receptor subfamily 1 group I member 3	-1.064	2.397
4359	MPZ	myelin protein zero	1.56	7.158
3310	HSPA6	heat shock protein family A (Hsp70) member 6	-1.64	4.653
2214	FCGR3A	Fc gamma receptor IIIa	-2.883	18.382
2215	FCGR3B	Fc gamma receptor IIIb	-2.588	10.377
84824	FCRLA	Fc receptor like A	2.198	7.856
25903	OLFML2B	olfactomedin like 2B	-2.417	15.792
4921	DDR2	discoidin domain receptor tyrosine kinase 2	1.002	2.918
51478	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7	-1.039	6.262
5999	RGS4	regulator of G protein signaling 4	-1.931	5.198
83540	NUF2	NUF2 component of NDC80 kinetochore complex	-1.645	7.388
6258	RXRG	retinoid X receptor gamma	2.075	3.774
100147773	TMCO1-AS1	TMCO1 antisense RNA 1	1.164	4.898
387597	ILDR2	immunoglobulin like domain containing receptor 2	-1.497	5.926
105371600	LOC105371600	uncharacterized LOC105371600	1.358	3.69
10223	GPA33	glycoprotein A33	1.618	5.372
105371601	LOC105371601	uncharacterized LOC105371601	2.27	2.938
55811	ADCY10	adenylate cyclase 10	-1.508	3.265
1805	DPT	dermatopontin	1.372	2.335
10560	SLC19A2	solute carrier family 19 member 2	-1.1	9.55
2153	F5	coagulation factor V	-5.283	17.58
6401	SELE	selectin E	-3.026	10.796
101928650	GORAB-AS1	GORAB antisense RNA 1	1.038	5.556
5396	PRRX1	paired related homeobox 1	-1.291	3.678
2328	FMO3	flavin containing dimethylaniline monoxygenase 3	-6.475	20.532
4653	MYOC	myocilin	2.871	2.38
100506023	LOC100506023	uncharacterized LOC100506023	1.385	10.784
101928673	PRDX6-AS1	PRDX6 antisense RNA 1	1.569	7.559
26774	SNORD80	small nucleolar RNA, C/D box 80	-1.113	4.949
26770	SNORD79	small nucleolar RNA, C/D box 79	-1.234	6.151
692198	SNORD78	small nucleolar RNA, C/D box 78	-1.184	3.854
26806	SNORD44	small nucleolar RNA, C/D box 44	-1.208	4.471
692197	SNORD77	small nucleolar RNA, C/D box 77	-1.326	4.1
692196	SNORD76	small nucleolar RNA, C/D box 76	-1.084	4.915
462	SERPINC1	serpin family C member 1	-8.294	21.175
460	ASTN1	astrotactin 1	1.836	3.298
102724661	LINC01645	long intergenic non-protein coding RNA 1645	2.127	5.019
111240474	CRYZL2P-SEC16B	CRYZL2P-SEC16B readthrough	-1.312	5.446
89866	SEC16B	SEC16 homolog B, endoplasmic reticulum export factor	-1.52	6.855
9068	ANGPTL1	angiopoietin like 1	1.615	2.908
148753	FAM163A	family with sequence similarity 163 member A	1.155	3.237
6004	RGS16	regulator of G protein signaling 16	-1.899	11.141
3918	LAMC2	laminin subunit gamma 2	-1.272	3.594
10216	PRG4	proteoglycan 4	-3.547	10.61
5743	PTGS2	prostaglandin-endoperoxide synthase 2	-1.372	2.615
339479	BRINP3	BMP/retinoic acid inducible neural specific 3	2.597	2.824
6003	RGS13	regulator of G protein signaling 13	2.258	6.879
3075	CFH	complement factor H	-2.007	4.145
10878	CFHR3	complement factor H related 3	-5.231	14.126
3078	CFHR1	complement factor H related 1	-5.965	16.221
3080	CFHR2	complement factor H related 2	-7.9	16.641
259266	ASPM	assembly factor for spindle microtubules	-1.269	5.571
2494	NR5A2	nuclear receptor subfamily 5 group A member 2	1.093	4.098
9928	KIF14	kinesin family member 14	-1.631	8.196
647215	MROH3P	maestro heat like repeat family member 3, pseudogene	2.093	5.802
5317	PKP1	plakophilin 1	-1.789	3.016
7139	TNNT2	troponin T2, cardiac type	-1.807	4.042
25802	LMOD1	leiomodin 1	1.12	2.868
29089	UBE2T	ubiquitin conjugating enzyme E2 T	-1.439	8.268
127833	SYT2	synaptotagmin 2	1.067	4.164
105371686	LOC105371686		1.019	3.324
1116	CHI3L1	chitinase 3 like 1	-3.834	10.535
54900	LAX1	lymphocyte transmembrane adaptor 1	1.111	3.342
55224	ETNK2	ethanolamine kinase 2	-1.734	4.348
127845	GOLT1A	golgi transport 1A	-2.419	9.021
105371692	LOC105371692	uncharacterized LOC105371692	1.2	6.251
10446	LRRN2	leucine rich repeat neuronal 2	2.284	6.002
6900	CNTN2	contactin 2	2.32	3.954
93273	LEMD1	LEM domain containing 1	-4.7	12.314
101669762	BLACAT1	BLACAT1 overlapping LEMD1 locus	-4.364	15.438
284578	MFSD4A-AS1	MFSD4A antisense RNA 1	1.503	2.173
148808	MFSD4A	major facilitator superfamily domain containing 4A	1.491	2.437
440712	RHEX	regulator of hemoglobinization and erythroid cell expansion	1.719	5.236
105372857	LOC105372857	uncharacterized LOC105372857	1.581	6.251
553	AVPR1B	arginine vasopressin receptor 1B	2.815	4.397
729533	FAM72A	family with sequence similarity 72 member A	-1.411	7.805
9214	FCMR	Fc mu receptor	1.191	4.833
5284	PIGR	polymeric immunoglobulin receptor	1.768	2.606
725	C4BPB	complement component 4 binding protein beta	-3.468	9.96
722	C4BPA	complement component 4 binding protein alpha	-5.413	14.188
1380	CR2	complement C3d receptor 2	2.774	6.555
50486	G0S2	G0/G1 switch 2	-2.396	10.535
3290	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1	-5.068	15.365
3756	KCNH1	potassium voltage-gated channel subfamily H member 1	1.645	4.779
7188	TRAF5	TNF receptor associated factor 5	-1.081	8.161
4751	NEK2	NIMA related kinase 2	-1.354	5.723
51514	DTL	denticleless E3 ubiquitin protein ligase homolog	-1.413	7.847
55248	PACC1	proton activated chloride channel 1	-1.259	11.324
79805	VASH2	vasohibin 2	-1.413	5.82
100505832	PROX1-AS1	PROX1 antisense RNA 1	-2.377	7.755
5629	PROX1	prospero homeobox 1	-2.099	9.961
1063	CENPF	centromere protein F	-1.348	5.775
3776	KCNK2	potassium two pore domain channel subfamily K member 2	1.735	3.328
128153	SPATA17	spermatogenesis associated 17	-1.108	4.092
7042	TGFB2	transforming growth factor beta 2	-1.252	4.407
79762	C1orf115	chromosome 1 open reading frame 115	1.434	5.971
11221	DUSP10	dual specificity phosphatase 10	-1.432	7.581
824	CAPN2	calpain 2	1.029	7.305
127602	DNAH14	dynein axonemal heavy chain 14	-1.319	11.445
83881	MIXL1	Mix paired-like homeobox	1.682	4.381
7483	WNT9A	Wnt family member 9A	1.472	3.321
92815	H2AC25	H2A clustered histone 25	-1.067	4.833
9816	URB2	URB2 ribosome biogenesis homolog	-1.175	11.293
183	AGT	angiotensinogen	-4.385	15.416
107985359	LOC107985359	uncharacterized LOC107985359	1.307	2.35
375061	FAM89A	family with sequence similarity 89 member A	-1.601	14.167
100302132	MIR1182	microRNA 1182	-1.727	10.645
100506810	LINC01132	long intergenic non-protein coding RNA 1132	-1.603	6.632
731656	LINC01348	long intergenic non-protein coding RNA 1348	-3.62	11.007
2786	GNG4	G protein subunit gamma 4	-2.104	5.349
64388	GREM2	gremlin 2, DAN family BMP antagonist	1.984	4.026
9156	EXO1	exonuclease 1	-1.706	9.141
55083	KIF26B	kinesin family member 26B	-3.18	15.208
57116	ZNF695	zinc finger protein 695	-1.878	8.8
100533111	ZNF670-ZNF695	ZNF670-ZNF695 readthrough (NMD candidate)	-1.184	7.791
148823	GCSAML	germinal center associated signaling and motility like	1.723	4.762
646627	LYPD8	LY6/PLAUR domain containing 8	2.491	4.044
107985747	LOC107985747	uncharacterized LOC107985747	2.544	4.246
102724250	LOC102724250	neuroblastoma breakpoint family member 1-like	1.482	10.265
285016	ALKAL2	ALK and LTK ligand 2	1.363	3.157
101927262	LOC101927262	uncharacterized LOC101927262	1.252	2.622
7173	TPO	thyroid peroxidase	1.718	2.908
7837	PXDN	peroxidasin	-1.109	5.011
78989	COLEC11	collectin subfamily member 11	-3.886	11.376
101929531	LINC01871	long intergenic non-protein coding RNA 1871	1.484	4.746
100506299	ID2-AS1	ID2 antisense RNA 1	1.096	5.61
29841	GRHL1	grainyhead like transcription factor 1	-2.19	12.442
192668	CYS1	cystin 1	1.276	2.938
6241	RRM2	ribonucleotide reductase regulatory subunit M2	-1.512	6.943
105373424	LOC105373424	uncharacterized LOC105373424	-1.307	3.437
