GeneID	Symbol	Description	log2(fold change)(cancer primaire vs controle)	-log10(Pvalue)(cancer primaire vs controle)	log2(fold change)(controle vs metastase)	-log10(Pvalue)(controle vs metastase)
84069	PLEKHN1	pleckstrin homology domain containing N1	1.923	5.526	-2.051	6.888
84808	PERM1	PPARGC1 and ESRR induced regulator, muscle 1	1.443	2.886	-1.56	3.674
219293	ATAD3C	ATPase family AAA domain containing 3C	1.297	2.412	-1.449	3.246
2563	GABRD	gamma-aminobutyric acid type A receptor subunit delta	2.035	4.291	-2.94	9.498
388585	HES5	hes family bHLH transcription factor 5	-1.665	3.099	2.184	5.32
440556	PRDM16-DT	PRDM16 divergent transcript	-1.442	2.68	2.355	6.762
105378604	LOC105378604	uncharacterized LOC105378604	1.796	4.437	-2.196	7.159
105376689	LOC105376689	translation initiation factor IF-2	2.021	3.699	-2.483	6.005
943	TNFRSF8	TNF receptor superfamily member 8	1.275	2.737	-1.044	2.117
284723	SLC25A34	solute carrier family 25 member 34	-1.758	4.579	2.484	9.575
110806303	SLC25A34-AS1	SLC25A34 and TMEM82 antisense RNA 1	-1.662	5.099	2.33	9.438
55672	NBPF1	NBPF member 1	-1.216	5.366	1.706	11.21
4237	MFAP2	microfibril associated protein 2	2.366	7.951	-1.277	2.856
105376806	LOC105376806	uncharacterized LOC105376806	2.362	7.505	-1.265	2.634
11240	PADI2	peptidyl arginine deiminase 2	-1.467	2.178	2.699	7.231
3352	HTR1D	5-hydroxytryptamine receptor 1D	3.709	7.858	-3.33	7.125
2517	FUCA1	alpha-L-fucosidase 1	-1.256	6.453	1.455	9.385
1269	CNR2	cannabinoid receptor 2	-1.768	3.821	1.969	5.086
107984931	LOC107984931	uncharacterized LOC107984931	1.253	2.166	-1.417	2.964
127294	MYOM3	myomesin 3	1.429	2.74	-1.724	4.258
57822	GRHL3	grainyhead like transcription factor 3	2.385	5.475	-3.117	10.02
7780	SLC30A2	solute carrier family 30 member 2	1.82	2.76	-2.383	4.984
