GeneID	Symbol	Description	log2FC	Pvalue
10349	ABCA10	ATP binding cassette subfamily A member 10	-1.603	3.576
23461	ABCA5	ATP binding cassette subfamily A member 5	-1.136	3.466
10351	ABCA8	ATP binding cassette subfamily A member 8	-2.012	3.222
10350	ABCA9	ATP binding cassette subfamily A member 9	-1.336	2.052
8647	ABCB11	ATP binding cassette subfamily B member 11	-2.691	3.627
1244	ABCC2	ATP binding cassette subfamily C member 2	2.378	4.634
225	ABCD2	ATP binding cassette subfamily D member 2	-1.182	3.047
9429	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	-2.682	7.26
171586	ABHD3	abhydrolase domain containing 3, phospholipase	-1.103	5.41
25890	ABI3BP	ABI family member 3 binding protein	-1.278	2.621
10449	ACAA2	acetyl-CoA acyltransferase 2	-1.064	4.106
32	ACACB	acetyl-CoA carboxylase beta	-1.01	2.916
35	ACADS	acyl-CoA dehydrogenase short chain	-1.309	5.059
176	ACAN	aggrecan	2.07	3.104
414149	ACBD7	acyl-CoA binding domain containing 7	1.165	2.716
1238	ACKR2	atypical chemokine receptor 2	-1.354	3.77
80221	ACSF2	acyl-CoA synthetase family member 2	-1.291	5.094
23305	ACSL6	acyl-CoA synthetase long chain family member 6	3.426	7.162
170487	ACTL10	actin like 10	1.159	3.547
87	ACTN1	actinin alpha 1	1.17	7.11
57180	ACTR3B	actin related protein 3B	1.007	6.979
8038	ADAM12	ADAM metallopeptidase domain 12	4.093	21.51
10863	ADAM28	ADAM metallopeptidase domain 28	-1.454	5.402
80332	ADAM33	ADAM metallopeptidase domain 33	-1.616	2.701
27299	ADAMDEC1	ADAM like decysin 1	-2.209	4.447
81792	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	3.303	17.143
9509	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	2.56	12.666
9507	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	2.364	6.063
11174	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	1.983	9.761
56999	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	1.415	4.593
92949	ADAMTSL1	ADAMTS like 1	-1.001	2.37
111	ADCY5	adenylate cyclase 5	-1.895	6.329
575	ADGRB1	adhesion G protein-coupled receptor B1	-1.396	5.61
577	ADGRB3	adhesion G protein-coupled receptor B3	-1.663	3.396
221395	ADGRF5	adhesion G protein-coupled receptor F5	1.074	3.843
222487	ADGRG3	adhesion G protein-coupled receptor G3	1.027	4.499
64123	ADGRL4	adhesion G protein-coupled receptor L4	1.126	3.899
124	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	-1.759	2.353
9370	ADIPOQ	adiponectin, C1Q and collagen domain containing	-2.879	2.748
140	ADORA3	adenosine A3 receptor	-1.165	3.762
150	ADRA2A	adrenoceptor alpha 2A	-1.349	2.765
153	ADRB1	adrenoceptor beta 1	-1.302	2.012
